transactionID,customerID,franchiseID,dateTime,product,quantity,unitPrice,totalPrice,paymentMethod,cardNumber
2002961,1000253,3000047,2024-05-14T12:17:01.495Z,Golden Gate Ginger,8,3,24,amex,378154478982993
2003007,1000226,3000047,2024-05-10T23:10:10.239Z,Austin Almond Biscotti,36,3,108,mastercard,2244626981238094
2003017,1000108,3000047,2024-05-16T16:34:10.613Z,Austin Almond Biscotti,40,3,120,mastercard,2490570234487424
2003068,1000173,3000047,2024-05-02T04:31:51.612Z,Pearly Pies,28,3,84,amex,343808569426192
2003103,1000075,3000047,2024-05-04T23:44:26.902Z,Pearly Pies,28,3,84,visa,4377080942201798
2003147,1000295,3000047,2024-05-15T16:17:06.259Z,Austin Almond Biscotti,32,3,96,amex,371093774812677
2003196,1000237,3000047,2024-05-07T11:13:22.469Z,Tokyo Tidbits,40,3,120,mastercard,5538807345848392
2003329,1000272,3000047,2024-05-06T03:32:16.017Z,Outback Oatmeal,28,3,84,visa,4872480716880043
2001264,1000209,3000047,2024-05-16T17:32:28.547Z,Pearly Pies,28,3,84,mastercard,5287105980593305
2001287,1000120,3000047,2024-05-15T08:41:28.406Z,Austin Almond Biscotti,40,3,120,amex,376211012259783
2001335,1000246,3000047,2024-05-15T11:23:27.457Z,Golden Gate Ginger,36,3,108,visa,4820866586481966
2001363,1000064,3000047,2024-05-06T14:29:05.562Z,Golden Gate Ginger,40,3,120,amex,377167597236886
2001425,1000165,3000047,2024-05-08T15:42:59.281Z,Pearly Pies,8,3,24,visa,4396976839795585
2001448,1000270,3000047,2024-05-12T19:15:02.549Z,Golden Gate Ginger,24,3,72,visa,4194531844898074
2001475,1000082,3000047,2024-05-16T20:42:25.666Z,Outback Oatmeal,40,3,120,visa,4958220510666603
2001493,1000270,3000047,2024-05-06T01:28:53.109Z,Tokyo Tidbits,24,3,72,visa,4938040664554206
2001544,1000051,3000047,2024-05-01T16:37:38.133Z,Pearly Pies,8,3,24,visa,4906017870499754
2001695,1000059,3000047,2024-05-05T10:49:43.520Z,Orchard Oasis,36,3,108,visa,4714694106787061
2001700,1000084,3000047,2024-05-10T15:39:48.140Z,Pearly Pies,16,3,48,amex,345342709553150
2001739,1000275,3000047,2024-05-11T04:00:52.101Z,Orchard Oasis,24,3,72,visa,4400596746879563
